state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2889480.0,3586880.0,1858543.0
Illinois,17,4826260.0,5909425.0,3147727.0
California,06,14276125.0,18875980.0,9562989.0
Arizona,04,2825939.0,3461245.0,1762337.0
Massachusetts,25,2909219.0,3321910.0,1932142.0
Wisconsin,55,2343615.0,2614965.0,1488169.0
Texas,48,9428516.0,12613635.0,6195559.0
Nebraska,31,755802.0,941420.0,480879.0
Utah,49,1070976.0,1321750.0,650394.0
Oregon,41,1523965.0,1934665.0,978493.0
Florida,12,7977789.0,10691345.0,4963147.0
New York,36,0,0,0
Rhode Island,44,440476.0,513495.0,299515.0
Georgia,13,3113334.0,4553155.0,1920080.0
New Hampshire,33,514422.0,651805.0,368356.0
North Carolina,37,3903284.0,4932810.0,2538508.0
New Jersey,34,3514899.0,4147575.0,2430590.0
Colorado,08,2188145.0,2684110.0,1378562.0
Maryland,24,2194556.0,2866250.0,1479109.0
Nevada,32,1116221.0,1348650.0,710024.0
Tennessee,47,2141857.0,3145950.0,1394341.0
Hawaii,15,599643.0,766730.0,378607.0
Indiana,18,2360942.0,2964250.0,1440383.0
Kentucky,21,1713059.0,2072685.0,1164238.0
Minnesota,27,2244149.0,2551740.0,1471972.0
Oklahoma,40,1616226.0,2239195.0,1047673.0
Pennsylvania,42,4637450.0,6257455.0,3124834.0
South Carolina,45,1745511.0,2235235.0,1134174.0
District of Columbia,11,296647.0,445625.0,142923.0
Kansas,20,1035916.0,1450815.0,713468.0
Missouri,29,2087816.0,2849985.0,1334902.0
Vermont,50,266120.0,342960.0,172303.0
Virginia,51,3243652.0,3820055.0,2128858.0
Connecticut,09,1586484.0,1899395.0,1034439.0
Iowa,19,1265775.0,1482225.0,813481.0
Louisiana,22,1629437.0,2164470.0,1034428.0
Ohio,39,4240062.0,5540795.0,2728608.0
Michigan,26,3589255.0,4543010.0,2339274.0
South Dakota,46,414458.0,520635.0,261798.0
Arkansas,05,974973.0,1466950.0,653550.0
Delaware,10,372165.0,486095.0,238813.0
Mississippi,28,972123.0,1418475.0,637529.0
New Mexico,35,1060171.0,1183825.0,677668.0
North Dakota,38,350706.0,390610.0,215512.0
Wyoming,56,220993.0,314015.0,134422.0
Alaska,02,362698.0,520685.0,221157.0
Maine,23,557814.0,679570.0,373307.0
Alabama,01,1460782.0,2177880.0,960539.0
Idaho,16,622341.0,785375.0,382524.0
Montana,30,433315.0,551325.0,275589.0
West Virginia,54,756418.0,939515.0,467091.0
