state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1562425.0,2094570.0,1063637.0
Illinois,17,2519447.0,3499685.0,1855962.0
California,06,8064121.0,10956910.0,5737092.0
Arizona,04,1607544.0,2064265.0,1136024.0
Massachusetts,25,1576657.0,2025060.0,1133903.0
Wisconsin,55,1314188.0,1579565.0,891185.0
Texas,48,5107257.0,7380615.0,3305597.0
Nebraska,31,422419.0,559930.0,281023.0
Utah,49,662012.0,787680.0,378021.0
Oregon,41,889531.0,1170595.0,578441.0
Florida,12,4605201.0,6013185.0,2927858.0
New York,36,0,0,0
Rhode Island,44,226694.0,300805.0,160880.0
Georgia,13,1961849.0,2645625.0,1219200.0
New Hampshire,33,291248.0,396375.0,209909.0
North Carolina,37,2210412.0,2809745.0,1407925.0
New Jersey,34,1866378.0,2476620.0,1310121.0
Colorado,08,1294236.0,1597960.0,859919.0
Maryland,24,1199143.0,1795785.0,825512.0
Nevada,32,622189.0,809180.0,418700.0
Tennessee,47,1210159.0,1787250.0,794893.0
Hawaii,15,348897.0,477450.0,233205.0
Indiana,18,1459296.0,1810380.0,945948.0
Kentucky,21,907836.0,1230465.0,632128.0
Minnesota,27,1218799.0,1547920.0,830072.0
Oklahoma,40,967522.0,1334690.0,630696.0
Pennsylvania,42,2489919.0,3647105.0,1766202.0
South Carolina,45,997874.0,1291305.0,696787.0
District of Columbia,11,173030.0,272005.0,74825.0
Kansas,20,542433.0,839575.0,394141.0
Missouri,29,1167787.0,1527195.0,744895.0
Vermont,50,147828.0,205810.0,96318.0
Virginia,51,1848774.0,2368825.0,1239868.0
Connecticut,09,925946.0,1113035.0,627101.0
Iowa,19,631160.0,837515.0,473529.0
Louisiana,22,943419.0,1264780.0,601353.0
Ohio,39,2351582.0,3238385.0,1562236.0
Michigan,26,2103114.0,2672490.0,1364572.0
South Dakota,46,250216.0,309130.0,167434.0
Arkansas,05,572553.0,826130.0,385351.0
Delaware,10,195534.0,289515.0,135362.0
Mississippi,28,525981.0,801035.0,369045.0
New Mexico,35,634845.0,705015.0,426331.0
North Dakota,38,203911.0,241100.0,129590.0
Wyoming,56,141545.0,183065.0,93220.0
Alaska,02,249559.0,319265.0,158792.0
Maine,23,305397.0,398190.0,211933.0
Alabama,01,864757.0,1170120.0,615100.0
Idaho,16,356987.0,432185.0,239100.0
Montana,30,252295.0,306415.0,174160.0
West Virginia,54,485535.0,568255.0,294794.0
