state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,3501641.0,4114320.0,2232951.0
Illinois,17,5793846.0,6883535.0,3832086.0
California,06,17703550.0,21865730.0,11802833.0
Arizona,04,3363062.0,3970345.0,2105116.0
Massachusetts,25,3495331.0,3848770.0,2293964.0
Wisconsin,55,2853949.0,2996415.0,1819527.0
Texas,48,11130215.0,14660795.0,7211223.0
Nebraska,31,900049.0,1072470.0,578881.0
Utah,49,1276193.0,1500500.0,784153.0
Oregon,41,1802561.0,2205385.0,1158213.0
Florida,12,9276711.0,12219465.0,5840928.0
New York,36,0,0,0
Rhode Island,44,538434.0,616065.0,336637.0
Georgia,13,3764344.0,5385975.0,2447419.0
New Hampshire,33,602562.0,743355.0,410366.0
North Carolina,37,4596429.0,5680940.0,2974973.0
New Jersey,34,4204062.0,4794085.0,2859012.0
Colorado,08,2602792.0,3060410.0,1664752.0
Maryland,24,2681526.0,3335590.0,1813685.0
Nevada,32,1328018.0,1548430.0,842620.0
Tennessee,47,2582046.0,3554800.0,1669271.0
Hawaii,15,685464.0,890600.0,439169.0
Indiana,18,2734813.0,3328110.0,1673593.0
Kentucky,21,2058753.0,2371375.0,1365477.0
Minnesota,27,2665779.0,2907150.0,1722919.0
Oklahoma,40,1888004.0,2530785.0,1201827.0
Pennsylvania,42,5893502.0,7164385.0,3971897.0
South Carolina,45,2109171.0,2652225.0,1378779.0
District of Columbia,11,353718.0,491635.0,181374.0
Kansas,20,1261951.0,1643765.0,854185.0
Missouri,29,2464910.0,3256125.0,1544780.0
Vermont,50,316145.0,393330.0,203266.0
Virginia,51,3867013.0,4489825.0,2553135.0
Connecticut,09,1891603.0,2211275.0,1225480.0
Iowa,19,1514487.0,1696035.0,956164.0
Louisiana,22,1911134.0,2550580.0,1191044.0
Ohio,39,5168120.0,6386995.0,3324459.0
Michigan,26,4295979.0,5249380.0,2779143.0
South Dakota,46,488046.0,581525.0,303587.0
Arkansas,05,1153739.0,1662850.0,769106.0
Delaware,10,447568.0,555005.0,290527.0
Mississippi,28,1134229.0,1614655.0,722545.0
New Mexico,35,1239316.0,1337435.0,785813.0
North Dakota,38,401626.0,437720.0,237354.0
Wyoming,56,261950.0,353975.0,156608.0
Alaska,02,403284.0,570465.0,246515.0
Maine,23,683925.0,791220.0,452561.0
Alabama,01,1666585.0,2537050.0,1113924.0
Idaho,16,736941.0,910095.0,452828.0
Montana,30,502390.0,632625.0,317475.0
West Virginia,54,857701.0,1067635.0,525033.0
