state,total_vaccinations,total_distributed,people_vaccinated
Washington,571135.0,1003550.0,468528.0
Illinois,823325.0,1631775.0,643555.0
California,2746876.0,5547100.0,2281453.0
Arizona,487149.0,1011375.0,412841.0
Massachusetts,490332.0,1018975.0,406024.0
Wisconsin,361917.0,793050.0,302339.0
Texas,2107005.0,3513450.0,1731725.0
Nebraska,150019.0,287400.0,116769.0
Utah,239807.0,399425.0,201134.0
Oregon,340383.0,606725.0,285528.0
Florida,1707251.0,3095850.0,1497903.0
New York,1630504.0,2812625.0,1320572.0
Rhode Island,80138.0,153625.0,61554.0
Georgia,764211.0,1441025.0,659212.0
New Hampshire,110451.0,200625.0,88624.0
North Carolina,849801.0,1399775.0,728551.0
New Jersey,648215.0,1230550.0,558156.0
Colorado,495706.0,806950.0,394156.0
Maryland,412206.0,851250.0,355484.0
Nevada,194942.0,339500.0,167481.0
Tennessee,510050.0,939650.0,385682.0
Hawaii,103944.0,226700.0,84139.0
Indiana,552144.0,925300.0,454380.0
Kentucky,342200.0,611050.0,297108.0
Minnesota,403640.0,801775.0,315664.0
Oklahoma,363253.0,592975.0,308458.0
Pennsylvania,856371.0,1915350.0,695656.0
South Carolina,359949.0,548750.0,302890.0
District of Columbia,70839.0,144425.0,55599.0
Kansas,190301.0,405550.0,157536.0
Missouri,382552.0,822850.0,294872.0
Vermont,58871.0,98775.0,46376.0
Virginia,668401.0,1171750.0,552909.0
Connecticut,381160.0,571775.0,315317.0
Iowa,212497.0,391575.0,169341.0
Louisiana,375895.0,620425.0,323609.0
Ohio,789869.0,1532450.0,683323.0
Michigan,814416.0,1359700.0,659118.0
South Dakota,91776.0,123800.0,67171.0
Arkansas,252824.0,453300.0,209445.0
Delaware,82289.0,141825.0,68959.0
Mississippi,201247.0,418050.0,181550.0
New Mexico,224692.0,314750.0,180272.0
North Dakota,80051.0,105900.0,60164.0
Wyoming,43425.0,82825.0,37963.0
Alaska,105858.0,178075.0,85672.0
Maine,115191.0,208225.0,88878.0
Alabama,278993.0,655275.0,241337.0
Idaho,102800.0,210750.0,85373.0
Montana,86213.0,138725.0,68032.0
West Virginia,224604.0,278400.0,173750.0
