state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2441777.0,3106330.0,1555378.0
Illinois,17,3925271.0,5044435.0,2603710.0
California,06,11428034.0,16057300.0,7738923.0
Arizona,04,2418267.0,3000645.0,1529482.0
Massachusetts,25,2443419.0,2861490.0,1650762.0
Wisconsin,55,1944768.0,2215335.0,1240451.0
Texas,48,8005490.0,10885765.0,5100346.0
Nebraska,31,653385.0,816830.0,421931.0
Utah,49,945378.0,1140260.0,562291.0
Oregon,41,1271685.0,1634415.0,806341.0
Florida,12,6613352.0,8877915.0,4076435.0
New York,36,0,0,0
Rhode Island,44,359501.0,437405.0,258664.0
Georgia,13,2598432.0,3980645.0,1548497.0
New Hampshire,33,431296.0,548625.0,315641.0
North Carolina,37,3165928.0,4132380.0,2014895.0
New Jersey,34,2916801.0,3517135.0,2018387.0
Colorado,08,1817050.0,2331020.0,1165790.0
Maryland,24,1859444.0,2405820.0,1245004.0
Nevada,32,930754.0,1166260.0,585867.0
Tennessee,47,1812050.0,2668520.0,1161962.0
Hawaii,15,503482.0,676520.0,314009.0
Indiana,18,2030306.0,2536330.0,1239957.0
Kentucky,21,1401175.0,1770615.0,953333.0
Minnesota,27,1874674.0,2234040.0,1249489.0
Oklahoma,40,1398278.0,1975455.0,891158.0
Pennsylvania,42,3759104.0,5193895.0,2548224.0
South Carolina,45,1493376.0,1894535.0,950186.0
District of Columbia,11,250090.0,385925.0,112244.0
Kansas,20,847260.0,1251145.0,582831.0
Missouri,29,1759789.0,2383325.0,1110044.0
Vermont,50,217495.0,289750.0,139766.0
Virginia,51,2753938.0,3221575.0,1776967.0
Connecticut,09,1345350.0,1642625.0,984384.0
Iowa,19,1034296.0,1257345.0,699106.0
Louisiana,22,1379998.0,1834230.0,872278.0
Ohio,39,3494036.0,4614085.0,2232778.0
Michigan,26,2983009.0,3847200.0,1936578.0
South Dakota,46,349016.0,449235.0,226056.0
Arkansas,05,836608.0,1222370.0,541936.0
Delaware,10,307982.0,419015.0,190252.0
Mississippi,28,824528.0,1218895.0,539704.0
New Mexico,35,895586.0,1024955.0,581690.0
North Dakota,38,297605.0,343200.0,186005.0
Wyoming,56,199232.0,270015.0,121792.0
Alaska,02,318526.0,470325.0,193951.0
Maine,23,476530.0,582520.0,320144.0
Alabama,01,1249205.0,1838400.0,816418.0
Idaho,16,522505.0,669775.0,324180.0
Montana,30,370463.0,465945.0,237009.0
West Virginia,54,651835.0,778825.0,397640.0
