state,total_vaccinations,total_distributed,people_vaccinated
Washington,951204.0,1364750.0,740234.0
Illinois,1477780.0,2207200.0,1148175.0
California,4784478.0,7385225.0,3880253.0
Arizona,863807.0,1265950.0,695970.0
Massachusetts,832242.0,1273975.0,649131.0
Wisconsin,769314.0,1045950.0,600268.0
Texas,3436180.0,4594050.0,2589885.0
Nebraska,235298.0,386775.0,165853.0
Utah,510267.0,531875.0,307059.0
Oregon,572695.0,801125.0,425086.0
Florida,2731300.0,4217275.0,2023419.0
New York,2441693.0,3428000.0,1795592.0
Rhode Island,122079.0,207950.0,86264.0
Georgia,1179950.0,1840775.0,927176.0
New Hampshire,168727.0,267450.0,121201.0
North Carolina,1287493.0,1722275.0,1005714.0
New Jersey,1096789.0,1480825.0,851190.0
Colorado,757560.0,1045000.0,542165.0
Maryland,692965.0,1098275.0,537805.0
Nevada,351531.0,510200.0,282040.0
Tennessee,812079.0,1157375.0,558590.0
Hawaii,194035.0,285950.0,142259.0
Indiana,761070.0,1206125.0,598731.0
Kentucky,568658.0,828800.0,436193.0
Minnesota,745290.0,975850.0,541133.0
Oklahoma,588207.0,750525.0,432422.0
Pennsylvania,1478180.0,2322875.0,1134099.0
South Carolina,585692.0,712325.0,460511.0
District of Columbia,108475.0,166950.0,75351.0
Kansas,305574.0,492250.0,233494.0
Missouri,646863.0,962500.0,492766.0
Vermont,93037.0,129875.0,64864.0
Virginia,1161590.0,1544150.0,912014.0
Connecticut,554322.0,800225.0,412601.0
Iowa,351803.0,510550.0,257459.0
Louisiana,619729.0,880150.0,438336.0
Ohio,1373728.0,2070625.0,1059251.0
Michigan,1309883.0,1846625.0,950705.0
South Dakota,133231.0,167975.0,92678.0
Arkansas,404127.0,580775.0,305917.0
Delaware,127523.0,162525.0,101383.0
Mississippi,329079.0,536625.0,268534.0
New Mexico,346064.0,405500.0,253534.0
North Dakota,129780.0,143400.0,87633.0
Wyoming,76457.0,113175.0,58775.0
Alaska,152874.0,256900.0,110936.0
Maine,187512.0,276600.0,138005.0
Alabama,490969.0,823600.0,395196.0
Idaho,198826.0,282075.0,151372.0
Montana,140124.0,164650.0,102903.0
West Virginia,327414.0,380400.0,219723.0
