state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1225920.0,1500225.0,898805.0
Illinois,17,1996099.0,2694700.0,1531557.0
California,06,6323011.0,8406525.0,4766592.0
Arizona,04,1164900.0,1396475.0,892791.0
Massachusetts,25,1170398.0,1526150.0,879627.0
Wisconsin,55,1012491.0,1238725.0,748247.0
Texas,48,4312301.0,5113175.0,3059756.0
Nebraska,31,294904.0,427000.0,201138.0
Utah,49,532635.0,605650.0,314844.0
Oregon,41,692781.0,878600.0,487286.0
Florida,12,3702569.0,4699950.0,2498089.0
New York,36,0,0,0
Rhode Island,44,151436.0,234500.0,103283.0
Georgia,13,1473440.0,2131775.0,1040075.0
New Hampshire,33,218316.0,321625.0,152041.0
North Carolina,37,1734825.0,2075375.0,1223476.0
New Jersey,34,1480413.0,1790200.0,1067242.0
Colorado,08,1024167.0,1230425.0,704742.0
Maryland,24,903172.0,1247775.0,648414.0
Nevada,32,453012.0,593275.0,340695.0
Tennessee,47,999517.0,1404675.0,680454.0
Hawaii,15,240715.0,320950.0,170911.0
Indiana,18,1113413.0,1447050.0,797872.0
Kentucky,21,719857.0,911575.0,514681.0
Minnesota,27,925182.0,1165050.0,681366.0
Oklahoma,40,696437.0,816650.0,485563.0
Pennsylvania,42,1950185.0,2717400.0,1445138.0
South Carolina,45,755422.0,939350.0,551943.0
District of Columbia,11,128460.0,193900.0,88287.0
Kansas,20,405166.0,581975.0,295950.0
Missouri,29,892006.0,1138675.0,637707.0
Vermont,50,115964.0,150375.0,78816.0
Virginia,51,1460103.0,1714800.0,1060294.0
Connecticut,09,738191.0,916075.0,509165.0
Iowa,19,495487.0,619000.0,367577.0
Louisiana,22,791574.0,900725.0,531448.0
Ohio,39,1825178.0,2373775.0,1325650.0
Michigan,26,1680901.0,2146125.0,1136393.0
South Dakota,46,165865.0,189250.0,113425.0
Arkansas,05,486949.0,649225.0,345271.0
Delaware,10,155111.0,189050.0,118666.0
Mississippi,28,438364.0,614100.0,318006.0
New Mexico,35,447379.0,454350.0,302820.0
North Dakota,38,154087.0,163150.0,102414.0
Wyoming,56,100186.0,127075.0,72339.0
Alaska,02,193617.0,271550.0,130751.0
Maine,23,242445.0,321850.0,174543.0
Alabama,01,650020.0,1032175.0,494424.0
Idaho,16,270169.0,334550.0,191063.0
Montana,30,184579.0,207250.0,132847.0
West Virginia,54,396009.0,441500.0,251627.0
