state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2562529.0,3132270.0,1638176.0
Illinois,17,4197470.0,5167015.0,2755219.0
California,06,11883375.0,16376020.0,8027407.0
Arizona,04,2557630.0,3024585.0,1602626.0
Massachusetts,25,2561749.0,2891100.0,1718071.0
Wisconsin,55,2072866.0,2233235.0,1324859.0
Texas,48,8421946.0,10967665.0,5417558.0
Nebraska,31,666417.0,833730.0,429096.0
Utah,49,1007495.0,1144940.0,611477.0
Oregon,41,1366471.0,1642605.0,870504.0
Florida,12,7108286.0,9145275.0,4387617.0
New York,36,0,0,0
Rhode Island,44,374193.0,463415.0,267498.0
Georgia,13,2754347.0,3981815.0,1662522.0
New Hampshire,33,460696.0,565165.0,333706.0
North Carolina,37,3414474.0,4267910.0,2193331.0
New Jersey,34,3065373.0,3577765.0,2126722.0
Colorado,08,1878639.0,2345060.0,1200280.0
Maryland,24,1961982.0,2430150.0,1316888.0
Nevada,32,989342.0,1169770.0,622883.0
Tennessee,47,1921346.0,2718400.0,1238369.0
Hawaii,15,528035.0,681200.0,329359.0
Indiana,18,2127229.0,2537330.0,1297939.0
Kentucky,21,1496894.0,1798045.0,1022830.0
Minnesota,27,2000939.0,2263220.0,1330645.0
Oklahoma,40,1465197.0,1981405.0,942162.0
Pennsylvania,42,4191298.0,5446125.0,2812196.0
South Carolina,45,1583500.0,1935035.0,1017665.0
District of Columbia,11,264499.0,388865.0,120982.0
Kansas,20,900500.0,1257325.0,618089.0
Missouri,29,1867231.0,2415805.0,1188641.0
Vermont,50,231610.0,292890.0,149158.0
Virginia,51,2892286.0,3291575.0,1872241.0
Connecticut,09,1411532.0,1659085.0,933367.0
Iowa,19,1114556.0,1288785.0,734394.0
Louisiana,22,1464377.0,1890870.0,925437.0
Ohio,39,3732147.0,4748935.0,2388057.0
Michigan,26,3166094.0,3925470.0,2053751.0
South Dakota,46,373065.0,457035.0,241971.0
Arkansas,05,882630.0,1251620.0,579157.0
Delaware,10,317790.0,422015.0,197168.0
Mississippi,28,896984.0,1239205.0,589211.0
New Mexico,35,942171.0,1035005.0,608238.0
North Dakota,38,317029.0,344170.0,197376.0
Wyoming,56,211910.0,270015.0,129196.0
Alaska,02,333357.0,472395.0,202410.0
Maine,23,510397.0,583690.0,343171.0
Alabama,01,1298612.0,1918560.0,849337.0
Idaho,16,550174.0,671845.0,340495.0
Montana,30,395770.0,481155.0,251203.0
West Virginia,54,684336.0,823965.0,417836.0
