state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1201284.0,1453425.0,890282.0
Illinois,17,1954382.0,2661550.0,1498639.0
California,06,6210992.0,8250650.0,4708607.0
Arizona,04,1154583.0,1396475.0,886107.0
Massachusetts,25,1146860.0,1517375.0,863806.0
Wisconsin,55,991691.0,1223525.0,736864.0
Texas,48,4256383.0,5112975.0,3037786.0
Nebraska,31,290626.0,407500.0,198660.0
Utah,49,532635.0,604675.0,314844.0
Oregon,41,685214.0,862025.0,483103.0
Florida,12,3598996.0,4597575.0,2441429.0
New York,36,0,0,0
Rhode Island,44,147019.0,234500.0,100448.0
Georgia,13,1473440.0,2130100.0,1040075.0
New Hampshire,33,216649.0,321625.0,151248.0
North Carolina,37,1684845.0,2074400.0,1198710.0
New Jersey,34,1427336.0,1790200.0,1037920.0
Colorado,08,1000597.0,1224575.0,686889.0
Maryland,24,887943.0,1231825.0,642662.0
Nevada,32,446800.0,550375.0,336432.0
Tennessee,47,992988.0,1385925.0,675421.0
Hawaii,15,237172.0,311200.0,168479.0
Indiana,18,1091762.0,1445100.0,787050.0
Kentucky,21,711588.0,903775.0,510373.0
Minnesota,27,908875.0,1165050.0,669293.0
Oklahoma,40,694616.0,816650.0,484478.0
Pennsylvania,42,1832629.0,2711550.0,1369992.0
South Carolina,45,738476.0,926750.0,542707.0
District of Columbia,11,126500.0,193900.0,87243.0
Kansas,20,397247.0,581975.0,291726.0
Missouri,29,878941.0,1138575.0,630838.0
Vermont,50,114986.0,147425.0,78022.0
Virginia,51,1431501.0,1648500.0,1046408.0
Connecticut,09,711142.0,914075.0,494373.0
Iowa,19,485710.0,615100.0,360301.0
Louisiana,22,784976.0,895350.0,528052.0
Ohio,39,1794982.0,2350375.0,1308980.0
Michigan,26,1657007.0,2134425.0,1124024.0
South Dakota,46,162885.0,189250.0,111151.0
Arkansas,05,483438.0,631675.0,343637.0
Delaware,10,152387.0,189050.0,117600.0
Mississippi,28,438364.0,614100.0,318006.0
New Mexico,35,443359.0,448500.0,300709.0
North Dakota,38,153427.0,162175.0,102151.0
Wyoming,56,100186.0,122200.0,72339.0
Alaska,02,191008.0,271550.0,129658.0
Maine,23,238137.0,317850.0,171975.0
Alabama,01,636682.0,1015775.0,486206.0
Idaho,16,263625.0,333575.0,187653.0
Montana,30,181665.0,207250.0,130926.0
West Virginia,54,393643.0,429800.0,250814.0
