state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,3068976.0,3897910.0,1982908.0
Illinois,17,5096694.0,6373315.0,3340960.0
California,06,15349039.0,19953070.0,10279020.0
Arizona,04,2970577.0,3584605.0,1851810.0
Massachusetts,25,3066115.0,3490490.0,2026414.0
Wisconsin,55,2480311.0,2875615.0,1584076.0
Texas,48,9845182.0,13186115.0,6467491.0
Nebraska,31,804643.0,1004540.0,519877.0
Utah,49,1155841.0,1386490.0,709295.0
Oregon,41,1606844.0,2092775.0,1032205.0
Florida,12,8250717.0,11287195.0,5152128.0
New York,36,0,0,0
Rhode Island,44,480045.0,561005.0,314642.0
Georgia,13,3281102.0,4820525.0,2059451.0
New Hampshire,33,545500.0,669085.0,385013.0
North Carolina,37,4092184.0,4977220.0,2670792.0
New Jersey,34,3636384.0,4217315.0,2514665.0
Colorado,08,2310425.0,2789800.0,1451398.0
Maryland,24,2357211.0,3030330.0,1594230.0
Nevada,32,1170434.0,1389160.0,746550.0
Tennessee,47,2246032.0,3154800.0,1461295.0
Hawaii,15,621720.0,804790.0,396262.0
Indiana,18,2447336.0,3132390.0,1495417.0
Kentucky,21,1813786.0,2214795.0,1231911.0
Minnesota,27,2353672.0,2657880.0,1542418.0
Oklahoma,40,1682725.0,2289845.0,1086326.0
Pennsylvania,42,5150999.0,6337155.0,3481464.0
South Carolina,45,1848117.0,2342995.0,1209308.0
District of Columbia,11,309362.0,460215.0,152058.0
Kansas,20,1088988.0,1462325.0,747131.0
Missouri,29,2192811.0,2872965.0,1398975.0
Vermont,50,283052.0,353420.0,183362.0
Virginia,51,3389780.0,4121315.0,2223428.0
Connecticut,09,1676905.0,1975855.0,1093483.0
Iowa,19,1333747.0,1539355.0,852108.0
Louisiana,22,1695779.0,2296150.0,1076810.0
Ohio,39,4499814.0,5828105.0,2903017.0
Michigan,26,3776838.0,5015690.0,2463672.0
South Dakota,46,429022.0,534435.0,269800.0
Arkansas,05,1012415.0,1535620.0,680549.0
Delaware,10,389157.0,508195.0,252231.0
Mississippi,28,1004562.0,1441325.0,656843.0
New Mexico,35,1101603.0,1253435.0,701349.0
North Dakota,38,360592.0,410240.0,220775.0
Wyoming,56,235171.0,324875.0,142012.0
Alaska,02,376555.0,529765.0,231342.0
Maine,23,599693.0,713860.0,401820.0
Alabama,01,1509445.0,2275030.0,994253.0
Idaho,16,656932.0,821195.0,403821.0
Montana,30,447693.0,556965.0,284822.0
West Virginia,54,769358.0,992755.0,477015.0
