state,total_vaccinations,total_distributed,people_vaccinated
Washington,2501778.0,3132270.0,1597377.0
Illinois,4197357.0,5167015.0,2754782.0
California,11881857.0,16376020.0,8025538.0
Arizona,2484603.0,3024585.0,1562876.0
Massachusetts,2561749.0,2891100.0,1717752.0
Wisconsin,2071836.0,2233235.0,1323842.0
Texas,8261238.0,10967665.0,5293079.0
Nebraska,666329.0,833730.0,428913.0
Utah,977728.0,1144940.0,587893.0
Oregon,1334042.0,1642605.0,847034.0
Florida,7007792.0,9145275.0,4325176.0
New York,6295058.0,8237955.0,4226184.0
Rhode Island,367414.0,463415.0,263449.0
Georgia,2681373.0,3980645.0,1608162.0
New Hampshire,450103.0,565165.0,327787.0
North Carolina,3391675.0,4267910.0,2181724.0
New Jersey,3011319.0,3577765.0,2090835.0
Colorado,1878538.0,2345060.0,1199979.0
Maryland,1922161.0,2430150.0,1291426.0
Nevada,958706.0,1169770.0,603756.0
Tennessee,1865861.0,2718400.0,1201964.0
Hawaii,517061.0,681200.0,322222.0
Indiana,2127154.0,2537330.0,1297780.0
Kentucky,1492234.0,1798045.0,1020088.0
Minnesota,2000813.0,2263220.0,1330070.0
Oklahoma,1435464.0,1981405.0,920680.0
Pennsylvania,4093668.0,5446125.0,2751412.0
South Carolina,1583500.0,1935035.0,1017396.0
District of Columbia,256529.0,388865.0,115660.0
Kansas,850639.0,1257325.0,586038.0
Missouri,1867231.0,2415805.0,1186989.0
Vermont,231610.0,292890.0,149120.0
Virginia,2827745.0,3291575.0,1827363.0
Connecticut,1411525.0,1659085.0,933227.0
Iowa,1114523.0,1288785.0,734296.0
Louisiana,1464259.0,1890870.0,925322.0
Ohio,3624261.0,4748935.0,2319341.0
Michigan,3076878.0,3925470.0,2001598.0
South Dakota,360667.0,457035.0,232966.0
Arkansas,882630.0,1251620.0,579022.0
Delaware,317790.0,422015.0,196931.0
Mississippi,896984.0,1239205.0,589064.0
New Mexico,913253.0,1035005.0,591927.0
North Dakota,308699.0,344370.0,192137.0
Wyoming,206091.0,270015.0,125878.0
Alaska,324271.0,472395.0,197436.0
Maine,477511.0,583690.0,321118.0
Alabama,1288242.0,1918560.0,841394.0
Idaho,536191.0,671845.0,332271.0
Montana,383241.0,481155.0,243698.0
West Virginia,679347.0,823965.0,414266.0
