state,total_vaccinations,total_distributed,people_vaccinated
Washington,2626048.0,3132270.0,1686163.0
Illinois,4297923.0,5167015.0,2812496.0
California,12306608.0,16376020.0,8287692.0
Arizona,2605621.0,3024585.0,1629972.0
Massachusetts,2620671.0,2891100.0,1751693.0
Wisconsin,2107896.0,2233235.0,1346547.0
Texas,8547673.0,10967665.0,5509231.0
Nebraska,684831.0,833730.0,444391.0
Utah,1008582.0,1144940.0,612437.0
Oregon,1387803.0,1642605.0,888090.0
Florida,7116355.0,9145275.0,4388959.0
New York,6443462.0,8237955.0,4323082.0
Rhode Island,388420.0,463415.0,276994.0
Georgia,2790084.0,3981815.0,1689912.0
New Hampshire,465226.0,565165.0,336445.0
North Carolina,3480495.0,4267910.0,2233748.0
New Jersey,3112960.0,3577765.0,2158901.0
Colorado,1933717.0,2345060.0,1232096.0
Maryland,1991188.0,2430150.0,1335141.0
Nevada,1013805.0,1169770.0,640086.0
Tennessee,1952377.0,2718400.0,1260166.0
Hawaii,538235.0,681200.0,333759.0
Indiana,2160312.0,2537330.0,1318159.0
Kentucky,1532494.0,1798045.0,1044344.0
Minnesota,2037382.0,2263220.0,1353203.0
Oklahoma,1483295.0,1981405.0,955816.0
Pennsylvania,4283453.0,5446125.0,2862957.0
South Carolina,1618854.0,1935035.0,1042042.0
District of Columbia,271191.0,388865.0,126422.0
Kansas,909577.0,1257325.0,623934.0
Missouri,1897083.0,2415805.0,1205497.0
Vermont,239136.0,292890.0,153973.0
Virginia,2951945.0,3291575.0,1913741.0
Connecticut,1442439.0,1659085.0,952509.0
Iowa,1145079.0,1288785.0,751143.0
Louisiana,1484459.0,1890870.0,937967.0
Ohio,3819317.0,4748935.0,2441898.0
Michigan,3170085.0,3925470.0,2056704.0
South Dakota,378505.0,457035.0,244353.0
Arkansas,892588.0,1251620.0,586266.0
Delaware,333896.0,422015.0,208306.0
Mississippi,904066.0,1239205.0,593525.0
New Mexico,952566.0,1035005.0,613331.0
North Dakota,321677.0,344170.0,198656.0
Wyoming,212499.0,270015.0,129287.0
Alaska,337141.0,472395.0,205256.0
Maine,523269.0,583690.0,351485.0
Alabama,1306419.0,1918560.0,854302.0
Idaho,559659.0,671845.0,345005.0
Montana,398858.0,481155.0,252446.0
West Virginia,686081.0,823965.0,418889.0
