state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2665688.0,3396560.0,1714661.0
Illinois,17,4379055.0,5531315.0,2856270.0
California,06,12686451.0,17386130.0,8540236.0
Arizona,04,2655283.0,3137385.0,1655300.0
Massachusetts,25,2633498.0,3069880.0,1759203.0
Wisconsin,55,2130926.0,2528285.0,1356659.0
Texas,48,8660886.0,11362975.0,5601318.0
Nebraska,31,697176.0,871170.0,449836.0
Utah,49,1030630.0,1212030.0,626747.0
Oregon,41,1412282.0,1802395.0,905439.0
Florida,12,7197889.0,9824045.0,4436541.0
New York,36,0,0,0
Rhode Island,44,396843.0,491495.0,283670.0
Georgia,13,2810272.0,4188145.0,1707798.0
New Hampshire,33,471480.0,581545.0,339922.0
North Carolina,37,3564207.0,4339140.0,2293986.0
New Jersey,34,3174729.0,3656595.0,2199384.0
Colorado,08,1948333.0,2345060.0,1239039.0
Maryland,24,2033434.0,2583900.0,1363597.0
Nevada,32,1020137.0,1188400.0,644080.0
Tennessee,47,1960657.0,2744960.0,1265605.0
Hawaii,15,546123.0,718390.0,339603.0
Indiana,18,2170644.0,2786140.0,1323727.0
Kentucky,21,1547563.0,1942585.0,1051308.0
Minnesota,27,2046151.0,2350780.0,1358707.0
Oklahoma,40,1488390.0,2057835.0,960142.0
Pennsylvania,42,4340831.0,5533725.0,2901757.0
South Carolina,45,1627125.0,2042685.0,1049599.0
District of Columbia,11,274424.0,398805.0,128836.0
Kansas,20,917107.0,1264705.0,628555.0
Missouri,29,1907859.0,2433085.0,1212720.0
Vermont,50,243777.0,309820.0,156682.0
Virginia,51,2987320.0,3597985.0,1938252.0
Connecticut,09,1460334.0,1749215.0,964706.0
Iowa,19,1155003.0,1342995.0,755782.0
Louisiana,22,1494482.0,2048220.0,945870.0
Ohio,39,3862956.0,5027395.0,2466334.0
Michigan,26,3245598.0,4269320.0,2105973.0
South Dakota,46,379911.0,459375.0,245286.0
Arkansas,05,897059.0,1332600.0,589436.0
Delaware,10,338429.0,436865.0,211783.0
Mississippi,28,906140.0,1249855.0,595233.0
New Mexico,35,970496.0,1107735.0,621579.0
North Dakota,38,321693.0,362400.0,198709.0
Wyoming,56,213969.0,270015.0,130020.0
Alaska,02,339647.0,484795.0,206403.0
Maine,23,528109.0,624990.0,354594.0
Alabama,01,1332298.0,2004160.0,871536.0
Idaho,16,566079.0,718305.0,348653.0
Montana,30,401716.0,483525.0,254359.0
West Virginia,54,689649.0,876775.0,421226.0
