state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,3170650.0,3974140.0,2046826.0
Illinois,17,5287852.0,6697605.0,3481498.0
California,06,16062266.0,20941290.0,10757446.0
Arizona,04,3106598.0,3797605.0,1940953.0
Massachusetts,25,3196050.0,3773250.0,2107488.0
Wisconsin,55,2576727.0,2923795.0,1647536.0
Texas,48,10133617.0,14200005.0,6642893.0
Nebraska,31,836012.0,1028490.0,540911.0
Utah,49,1213732.0,1476470.0,744143.0
Oregon,41,1657083.0,2165585.0,1067154.0
Florida,12,8603007.0,11575805.0,5403866.0
New York,36,0,0,0
Rhode Island,44,497475.0,586305.0,321271.0
Georgia,13,3434860.0,5174215.0,2179249.0
New Hampshire,33,566168.0,710345.0,395378.0
North Carolina,37,4240056.0,5321170.0,2775957.0
New Jersey,34,3869393.0,4684665.0,2661886.0
Colorado,08,2388899.0,3006760.0,1510575.0
Maryland,24,2464830.0,3256200.0,1671238.0
Nevada,32,1214518.0,1511590.0,776760.0
Tennessee,47,2353612.0,3262400.0,1531296.0
Hawaii,15,642642.0,865280.0,410879.0
Indiana,18,2540707.0,3191470.0,1554964.0
Kentucky,21,1876610.0,2258935.0,1271160.0
Minnesota,27,2417606.0,2850840.0,1582691.0
Oklahoma,40,1753658.0,2460515.0,1130532.0
Pennsylvania,42,5325139.0,6814805.0,3601385.0
South Carolina,45,1926363.0,2511895.0,1264061.0
District of Columbia,11,320173.0,466685.0,159355.0
Kansas,20,1140488.0,1586255.0,779552.0
Missouri,29,2276318.0,3091485.0,1452035.0
Vermont,50,290680.0,374580.0,188433.0
Virginia,51,3529449.0,4298625.0,2321609.0
Connecticut,09,1737160.0,2097155.0,1131532.0
Iowa,19,1369302.0,1636025.0,877325.0
Louisiana,22,1756494.0,2411250.0,1113976.0
Ohio,39,4679419.0,6190705.0,3031371.0
Michigan,26,3914742.0,5114300.0,2561046.0
South Dakota,46,445142.0,563745.0,279590.0
Arkansas,05,1056307.0,1576060.0,710494.0
Delaware,10,406635.0,532845.0,265056.0
Mississippi,28,1049528.0,1557815.0,679635.0
New Mexico,35,1135178.0,1297585.0,722460.0
North Dakota,38,369029.0,423440.0,225684.0
Wyoming,56,242919.0,350735.0,146634.0
Alaska,02,384503.0,549315.0,236062.0
Maine,23,620556.0,756610.0,414454.0
Alabama,01,1579091.0,2459980.0,1048838.0
Idaho,16,678747.0,863505.0,418189.0
Montana,30,463857.0,603585.0,296319.0
West Virginia,54,793552.0,1007155.0,489826.0
