state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2213284.0,2657880.0,1411252.0
Illinois,17,3571808.0,4378835.0,2398497.0
California,06,10805474.0,13885120.0,7318100.0
Arizona,04,2215219.0,2623735.0,1416598.0
Massachusetts,25,2199086.0,2497130.0,1493343.0
Wisconsin,55,1804918.0,1924865.0,1150440.0
Texas,48,7071506.0,9250505.0,4406573.0
Nebraska,31,573413.0,712720.0,371498.0
Utah,49,833714.0,993140.0,483105.0
Oregon,41,1199682.0,1420125.0,760168.0
Florida,12,5904827.0,7771315.0,3718074.0
New York,36,0,0,0
Rhode Island,44,326730.0,387365.0,234708.0
Georgia,13,2391999.0,3437635.0,1411942.0
New Hampshire,33,385485.0,496675.0,282343.0
North Carolina,37,2881950.0,3624905.0,1838635.0
New Jersey,34,2571874.0,3070400.0,1775631.0
Colorado,08,1627458.0,2019460.0,1047703.0
Maryland,24,1671778.0,2116560.0,1109083.0
Nevada,32,855890.0,1033680.0,539447.0
Tennessee,47,1659254.0,2319910.0,1058354.0
Hawaii,15,452988.0,598100.0,280866.0
Indiana,18,1879649.0,2206230.0,1152396.0
Kentucky,21,1283860.0,1555915.0,867007.0
Minnesota,27,1725656.0,1953700.0,1151692.0
Oklahoma,40,1300639.0,1741270.0,818496.0
Pennsylvania,42,3335592.0,4641045.0,2289199.0
South Carolina,45,1380510.0,1642615.0,873292.0
District of Columbia,11,230110.0,337095.0,100571.0
Kansas,20,742945.0,1091625.0,515054.0
Missouri,29,1633864.0,2032445.0,1027201.0
Vermont,50,198741.0,261100.0,126974.0
Virginia,51,2486429.0,2881325.0,1591745.0
Connecticut,09,1228865.0,1434565.0,883688.0
Iowa,19,940050.0,1106755.0,647648.0
Louisiana,22,1277889.0,1640860.0,805777.0
Ohio,39,3203772.0,4057505.0,2042646.0
Michigan,26,2765577.0,3363430.0,1789580.0
South Dakota,46,326272.0,399640.0,213168.0
Arkansas,05,773357.0,1088150.0,494761.0
Delaware,10,280674.0,361765.0,172568.0
Mississippi,28,776272.0,1067855.0,506410.0
New Mexico,35,833881.0,901345.0,541044.0
North Dakota,38,275989.0,299900.0,172717.0
Wyoming,56,185580.0,236065.0,114824.0
Alaska,02,298144.0,426715.0,182230.0
Maine,23,427445.0,503580.0,287695.0
Alabama,01,1116676.0,1628350.0,732967.0
Idaho,16,482273.0,594115.0,300640.0
Montana,30,341554.0,411145.0,219236.0
West Virginia,54,602407.0,723565.0,363952.0
