state,total_vaccinations,total_distributed,people_vaccinated
Washington,2823446.0,3557430.0,1816100.0
Illinois,4683361.0,5818585.0,3044878.0
California,13882984.0,18487510.0,9302378.0
Arizona,2760907.0,3444465.0,1720172.0
Massachusetts,2837941.0,3314010.0,1886403.0
Wisconsin,2271149.0,2577425.0,1441789.0
Texas,9237352.0,12580115.0,6052656.0
Nebraska,754880.0,941320.0,480168.0
Utah,1070231.0,1310050.0,649947.0
Oregon,1483419.0,1884355.0,952346.0
Florida,7684142.0,10646775.0,4760399.0
New York,7004762.0,9345475.0,4706737.0
Rhode Island,425397.0,511025.0,293953.0
Georgia,2910835.0,4482955.0,1777288.0
New Hampshire,500911.0,627805.0,359702.0
North Carolina,3813176.0,4765300.0,2468201.0
New Jersey,3431096.0,4087515.0,2372189.0
Colorado,2080284.0,2669970.0,1320575.0
Maryland,2190923.0,2832620.0,1475036.0
Nevada,1086559.0,1334610.0,689756.0
Tennessee,2093850.0,3074370.0,1361297.0
Hawaii,587465.0,766430.0,369835.0
Indiana,2304432.0,2888280.0,1407346.0
Kentucky,1668125.0,2022815.0,1129895.0
Minnesota,2180483.0,2546560.0,1436197.0
Oklahoma,1585046.0,2228465.0,1025111.0
Pennsylvania,4612975.0,6017065.0,3104875.0
South Carolina,1723604.0,2210865.0,1118812.0
District of Columbia,291022.0,443285.0,139568.0
Kansas,997844.0,1446035.0,686025.0
Missouri,2033873.0,2832415.0,1297290.0
Vermont,259165.0,333720.0,167409.0
Virginia,3165336.0,3748925.0,2068249.0
Connecticut,1551481.0,1884695.0,1014611.0
Iowa,1225964.0,1452225.0,794504.0
Louisiana,1587368.0,2118260.0,1008581.0
Ohio,4124492.0,5416165.0,2646831.0
Michigan,3484418.0,4429550.0,2271780.0
South Dakota,403411.0,511665.0,256112.0
Arkansas,952919.0,1407320.0,635565.0
Delaware,362023.0,477905.0,231420.0
Mississippi,948679.0,1393855.0,623350.0
New Mexico,1031202.0,1176105.0,658512.0
North Dakota,340554.0,390610.0,209842.0
Wyoming,220735.0,311575.0,134295.0
Alaska,356055.0,514835.0,216781.0
Maine,557469.0,666270.0,373062.0
Alabama,1426696.0,2141210.0,937614.0
Idaho,603043.0,759635.0,369859.0
Montana,422946.0,537955.0,269085.0
West Virginia,732433.0,886275.0,450766.0
