state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1407229.0,1619340.0,1001775.0
Illinois,17,2261482.0,2924725.0,1697843.0
California,06,7201713.0,9178020.0,5285256.0
Arizona,04,1425295.0,1688255.0,1064109.0
Massachusetts,25,1375439.0,1737170.0,1028490.0
Wisconsin,55,1188631.0,1301825.0,841506.0
Texas,48,4614697.0,5602100.0,3241776.0
Nebraska,31,360582.0,482975.0,244045.0
Utah,49,610074.0,658750.0,356046.0
Oregon,41,794779.0,924575.0,541691.0
Florida,12,4205898.0,5120975.0,2796210.0
New York,36,0,0,0
Rhode Island,44,190896.0,246175.0,131246.0
Georgia,13,1786755.0,2292085.0,1181826.0
New Hampshire,33,250296.0,328525.0,171758.0
North Carolina,37,2008811.0,2363200.0,1353909.0
New Jersey,34,1648599.0,1809900.0,1157271.0
Colorado,08,1167895.0,1348800.0,800799.0
Maryland,24,1054467.0,1450000.0,732236.0
Nevada,32,555742.0,646450.0,393813.0
Tennessee,47,1097826.0,1477175.0,748756.0
Hawaii,15,312730.0,397750.0,215488.0
Indiana,18,1234416.0,1487400.0,859278.0
Kentucky,21,796952.0,998250.0,556588.0
Minnesota,27,1097316.0,1284150.0,772141.0
Oklahoma,40,830903.0,1061775.0,572876.0
Pennsylvania,42,2231800.0,2989725.0,1628681.0
South Carolina,45,879776.0,1066275.0,625877.0
District of Columbia,11,159640.0,225125.0,107751.0
Kansas,20,488738.0,645800.0,345965.0
Missouri,29,1042872.0,1275555.0,723937.0
Vermont,50,132112.0,159650.0,88826.0
Virginia,51,1671217.0,1948550.0,1162487.0
Connecticut,09,847820.0,984275.0,572145.0
Iowa,19,577374.0,707865.0,430429.0
Louisiana,22,877683.0,1012000.0,582482.0
Ohio,39,2066995.0,2504150.0,1460227.0
Michigan,26,1884038.0,2279240.0,1247602.0
South Dakota,46,225848.0,266970.0,152655.0
Arkansas,05,520904.0,691525.0,364735.0
Delaware,10,180600.0,204200.0,133187.0
Mississippi,28,481424.0,650750.0,345108.0
New Mexico,35,578916.0,605885.0,386679.0
North Dakota,38,188496.0,198650.0,124671.0
Wyoming,56,129060.0,150905.0,89346.0
Alaska,02,227403.0,299935.0,148299.0
Maine,23,268322.0,335375.0,190336.0
Alabama,01,776936.0,1078800.0,560968.0
Idaho,16,313466.0,358200.0,216285.0
Montana,30,228890.0,259215.0,161546.0
West Virginia,54,458087.0,481225.0,288262.0
