state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1479352.0,1619340.0,1030812.0
Illinois,17,2354395.0,2924925.0,1766364.0
California,06,7604725.0,9178020.0,5494435.0
Arizona,04,1506572.0,1688255.0,1083205.0
Massachusetts,25,1468992.0,1737170.0,1070869.0
Wisconsin,55,1252322.0,1301825.0,869308.0
Texas,48,4711180.0,5652800.0,3299008.0
Nebraska,31,380648.0,482975.0,257986.0
Utah,49,610874.0,658750.0,356333.0
Oregon,41,844210.0,924575.0,558708.0
Florida,12,4390626.0,5120975.0,2824219.0
New York,36,0,0,0
Rhode Island,44,206034.0,246175.0,143885.0
Georgia,13,1873683.0,2292085.0,1188521.0
New Hampshire,33,267893.0,328525.0,192129.0
North Carolina,37,2105120.0,2363200.0,1368734.0
New Jersey,34,1711610.0,1917150.0,1233939.0
Colorado,08,1231699.0,1348800.0,831687.0
Maryland,24,1111529.0,1450000.0,781516.0
Nevada,32,586518.0,646450.0,401413.0
Tennessee,47,1130834.0,1478150.0,757200.0
Hawaii,15,331321.0,397750.0,225335.0
Indiana,18,1292340.0,1487400.0,884605.0
Kentucky,21,839508.0,1006050.0,595646.0
Minnesota,27,1138309.0,1284150.0,794373.0
Oklahoma,40,891227.0,1061775.0,590545.0
Pennsylvania,42,2358058.0,2989725.0,1699811.0
South Carolina,45,932588.0,1066275.0,660425.0
District of Columbia,11,164207.0,225125.0,71399.0
Kansas,20,514728.0,645800.0,379563.0
Missouri,29,1103908.0,1275555.0,717772.0
Vermont,50,141436.0,163550.0,92323.0
Virginia,51,1735451.0,1949525.0,1192485.0
Connecticut,09,882777.0,984275.0,592976.0
Iowa,19,611188.0,707865.0,458634.0
Louisiana,22,903226.0,1043200.0,585541.0
Ohio,39,2196607.0,2518775.0,1498985.0
Michigan,26,1972201.0,2279240.0,1304589.0
South Dakota,46,235964.0,266970.0,158566.0
Arkansas,05,535413.0,691525.0,371148.0
Delaware,10,183901.0,204200.0,132160.0
Mississippi,28,499055.0,650750.0,356924.0
New Mexico,35,604732.0,605885.0,409505.0
North Dakota,38,196365.0,198650.0,125196.0
Wyoming,56,135635.0,150905.0,90847.0
Alaska,02,238279.0,299935.0,153572.0
Maine,23,297116.0,335375.0,207602.0
Alabama,01,793614.0,1082100.0,583741.0
Idaho,16,336243.0,358200.0,230560.0
Montana,30,240814.0,259215.0,168580.0
West Virginia,54,465593.0,481225.0,286014.0
