state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,684344.0,1031400.0,555505.0
Illinois,17,1011454.0,1696575.0,781536.0
California,06,3285351.0,5666550.0,2717530.0
Arizona,04,594104.0,1013375.0,500942.0
Massachusetts,25,579181.0,1060900.0,461408.0
Wisconsin,55,491058.0,795050.0,409614.0
Texas,48,2408879.0,3659550.0,1928227.0
Nebraska,31,177711.0,288375.0,133002.0
Utah,49,286501.0,401375.0,227616.0
Oregon,41,407890.0,665325.0,331692.0
Florida,12,1959626.0,3396350.0,1656005.0
New York,36,0,0,0
Rhode Island,44,91177.0,173225.0,67744.0
Georgia,13,906186.0,1449800.0,766875.0
New Hampshire,33,128313.0,217100.0,98524.0
North Carolina,37,951657.0,1423475.0,800782.0
New Jersey,34,795440.0,1232525.0,670153.0
Colorado,08,569234.0,813400.0,440576.0
Maryland,24,505454.0,884650.0,422218.0
Nevada,32,241078.0,368800.0,205892.0
Tennessee,47,609213.0,998875.0,438426.0
Hawaii,15,129267.0,227400.0,103398.0
Indiana,18,607185.0,931500.0,495746.0
Kentucky,21,404705.0,650150.0,337738.0
Minnesota,27,518744.0,837550.0,402715.0
Oklahoma,40,437985.0,594925.0,356891.0
Pennsylvania,42,1088172.0,1976925.0,862021.0
South Carolina,45,439541.0,560150.0,361557.0
District of Columbia,11,80526.0,148525.0,61737.0
Kansas,20,221469.0,413350.0,180156.0
Missouri,29,444384.0,835400.0,340708.0
Vermont,50,67180.0,99750.0,50571.0
Virginia,51,833221.0,1232350.0,687883.0
Connecticut,09,436842.0,578600.0,349879.0
Iowa,19,252202.0,417900.0,190689.0
Louisiana,22,443715.0,648925.0,369486.0
Ohio,39,954013.0,1553900.0,789605.0
Michigan,26,977030.0,1362600.0,772944.0
South Dakota,46,105961.0,130700.0,76523.0
Arkansas,05,303793.0,453700.0,244867.0
Delaware,10,99954.0,143775.0,82970.0
Mississippi,28,236401.0,425000.0,211689.0
New Mexico,35,264147.0,317900.0,204968.0
North Dakota,38,97915.0,108050.0,70822.0
Wyoming,56,57023.0,85750.0,47639.0
Alaska,02,119590.0,193150.0,94889.0
Maine,23,140353.0,212125.0,105665.0
Alabama,01,353974.0,659400.0,298301.0
Idaho,16,120880.0,221550.0,98287.0
Montana,30,104525.0,141650.0,79584.0
West Virginia,54,259774.0,305200.0,192580.0
