state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1255764.0,1500325.0,914138.0
Illinois,17,2037388.0,2706400.0,1557154.0
California,06,6496140.0,8722400.0,4865151.0
Arizona,04,1202770.0,1396475.0,914468.0
Massachusetts,25,1214821.0,1526150.0,912258.0
Wisconsin,55,1040145.0,1243125.0,762117.0
Texas,48,4333726.0,5258675.0,3071010.0
Nebraska,31,305057.0,427000.0,206790.0
Utah,49,551742.0,618325.0,322861.0
Oregon,41,708570.0,878600.0,496092.0
Florida,12,3819224.0,4700950.0,2562863.0
New York,36,0,0,0
Rhode Island,44,159931.0,234500.0,108152.0
Georgia,13,1569216.0,2145525.0,1073929.0
New Hampshire,33,226863.0,321625.0,157078.0
North Carolina,37,1782267.0,2119250.0,1238992.0
New Jersey,34,1542174.0,1790200.0,1103016.0
Colorado,08,1053041.0,1282300.0,724699.0
Maryland,24,930567.0,1249925.0,664228.0
Nevada,32,466981.0,593275.0,346585.0
Tennessee,47,1014351.0,1410500.0,691486.0
Hawaii,15,247392.0,320950.0,174151.0
Indiana,18,1125976.0,1452900.0,803800.0
Kentucky,21,726168.0,950600.0,517316.0
Minnesota,27,957275.0,1200250.0,696510.0
Oklahoma,40,700440.0,816650.0,487252.0
Pennsylvania,42,2002786.0,2731050.0,1478146.0
South Carolina,45,778113.0,939350.0,562999.0
District of Columbia,11,130437.0,193900.0,88924.0
Kansas,20,417825.0,581975.0,302165.0
Missouri,29,915475.0,1144775.0,646707.0
Vermont,50,118184.0,151350.0,79606.0
Virginia,51,1503786.0,1714800.0,1076555.0
Connecticut,09,767183.0,922075.0,525133.0
Iowa,19,507650.0,648600.0,377848.0
Louisiana,22,795511.0,928425.0,533933.0
Ohio,39,1861434.0,2402050.0,1343458.0
Michigan,26,1718790.0,2174800.0,1155117.0
South Dakota,46,171175.0,197050.0,116461.0
Arkansas,05,490737.0,664225.0,346623.0
Delaware,10,159845.0,189050.0,121487.0
Mississippi,28,438364.0,616050.0,318006.0
New Mexico,35,456034.0,454450.0,306504.0
North Dakota,38,156751.0,163150.0,104196.0
Wyoming,56,105426.0,127075.0,74983.0
Alaska,02,199151.0,271550.0,133491.0
Maine,23,242445.0,321850.0,174543.0
Alabama,01,672038.0,1032175.0,505660.0
Idaho,16,278474.0,336650.0,195596.0
Montana,30,190070.0,208225.0,136359.0
West Virginia,54,403532.0,441500.0,254778.0
