state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,741769.0,1129025.0,599313.0
Illinois,17,1073076.0,1859850.0,831556.0
California,06,3543817.0,5670500.0,2940488.0
Arizona,04,631662.0,1082050.0,534476.0
Massachusetts,25,625477.0,1039775.0,497445.0
Wisconsin,55,522034.0,900250.0,437456.0
Texas,48,2496232.0,4092150.0,1991555.0
Nebraska,31,182412.0,297375.0,134877.0
Utah,49,324636.0,427225.0,245534.0
Oregon,41,438302.0,684000.0,353035.0
Florida,12,2048143.0,3657775.0,1712327.0
New York,36,0,0,0
Rhode Island,44,99541.0,176150.0,73486.0
Georgia,13,940066.0,1557175.0,790354.0
New Hampshire,33,135799.0,226850.0,103364.0
North Carolina,37,976153.0,1490350.0,819119.0
New Jersey,34,836584.0,1235350.0,697318.0
Colorado,08,601347.0,871875.0,464938.0
Maryland,24,537037.0,899675.0,448177.0
Nevada,32,253174.0,417175.0,214342.0
Tennessee,47,631885.0,990975.0,450633.0
Hawaii,15,137914.0,246550.0,110757.0
Indiana,18,612289.0,1091375.0,499215.0
Kentucky,21,419562.0,684700.0,350622.0
Minnesota,27,552701.0,824450.0,431172.0
Oklahoma,40,445675.0,616775.0,362529.0
Pennsylvania,42,1155945.0,1987200.0,916235.0
South Carolina,45,470696.0,659950.0,385908.0
District of Columbia,11,83553.0,147125.0,64241.0
Kansas,20,231201.0,413350.0,185065.0
Missouri,29,466406.0,824100.0,358762.0
Vermont,50,74021.0,109825.0,54994.0
Virginia,51,901213.0,1306800.0,742017.0
Connecticut,09,456090.0,574650.0,361495.0
Iowa,19,259522.0,415325.0,195234.0
Louisiana,22,476014.0,736850.0,378574.0
Ohio,39,1045139.0,1717875.0,854741.0
Michigan,26,1015483.0,1608250.0,801811.0
South Dakota,46,108004.0,142500.0,77125.0
Arkansas,05,314470.0,467800.0,251841.0
Delaware,10,103770.0,143775.0,85143.0
Mississippi,28,240125.0,438100.0,214460.0
New Mexico,35,277617.0,351050.0,213941.0
North Dakota,38,99990.0,122050.0,71735.0
Wyoming,56,59018.0,89450.0,48255.0
Alaska,02,123443.0,196975.0,97076.0
Maine,23,145786.0,221875.0,109917.0
Alabama,01,371882.0,680550.0,312711.0
Idaho,16,126648.0,216975.0,102959.0
Montana,30,107324.0,141650.0,81420.0
West Virginia,54,264205.0,325100.0,194301.0
