state,total_vaccinations,total_distributed,people_vaccinated
Washington,2255182.0,2942240.0,1437268.0
Illinois,3601065.0,4715845.0,2414809.0
California,10925581.0,15047220.0,7400238.0
Arizona,2245854.0,2638855.0,1435152.0
Massachusetts,2226167.0,2657570.0,1510698.0
Wisconsin,1812456.0,2154685.0,1155268.0
Texas,7299866.0,9694925.0,4574899.0
Nebraska,594293.0,769090.0,387731.0
Utah,880032.0,1054260.0,512666.0
Oregon,1221981.0,1480885.0,773967.0
Florida,5961421.0,8455205.0,3760044.0
New York,5525344.0,7147625.0,3651402.0
Rhode Island,333607.0,422115.0,240963.0
Georgia,2406206.0,3706995.0,1420118.0
New Hampshire,393931.0,512715.0,289813.0
North Carolina,2909142.0,3719845.0,1858432.0
New Jersey,2639438.0,3161120.0,1821711.0
Colorado,1650716.0,2119340.0,1061907.0
Maryland,1715039.0,2254210.0,1141469.0
Nevada,864967.0,1124830.0,544881.0
Tennessee,1667642.0,2344940.0,1064302.0
Hawaii,464100.0,632120.0,287071.0
Indiana,1892845.0,2443780.0,1161968.0
Kentucky,1293847.0,1692775.0,872816.0
Minnesota,1746992.0,2011060.0,1167407.0
Oklahoma,1307274.0,1744610.0,822520.0
Pennsylvania,3524263.0,4808285.0,2401448.0
South Carolina,1397362.0,1776495.0,885144.0
District of Columbia,232666.0,355785.0,102392.0
Kansas,751652.0,1094695.0,521147.0
Missouri,1647096.0,2043505.0,1038458.0
Vermont,203900.0,272530.0,130466.0
Virginia,2553714.0,3091425.0,1642937.0
Connecticut,1245687.0,1525915.0,897576.0
Iowa,952377.0,1162165.0,653454.0
Louisiana,1286353.0,1739230.0,811301.0
Ohio,3255735.0,4331405.0,2070097.0
Michigan,2787289.0,3758740.0,1805357.0
South Dakota,326763.0,411670.0,213680.0
Arkansas,782750.0,1158630.0,501653.0
Delaware,285101.0,389215.0,174037.0
Mississippi,780649.0,1089955.0,509358.0
New Mexico,839018.0,972065.0,545238.0
North Dakota,277845.0,318530.0,173961.0
Wyoming,185813.0,246125.0,115046.0
Alaska,302687.0,430685.0,184906.0
Maine,432219.0,541780.0,290479.0
Alabama,1140984.0,1689050.0,747268.0
Idaho,489220.0,617985.0,304032.0
Montana,343597.0,414385.0,220672.0
West Virginia,606345.0,773125.0,367001.0
