state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,607071.0,1005500.0,496008.0
Illinois,17,884502.0,1658725.0,685529.0
California,06,2910562.0,5640225.0,2415659.0
Arizona,04,521097.0,1012275.0,439897.0
Massachusetts,25,520504.0,1057000.0,422803.0
Wisconsin,55,406869.0,793750.0,339296.0
Texas,48,2219867.0,3659550.0,1804291.0
Nebraska,31,158370.0,288375.0,120121.0
Utah,49,271127.0,401375.0,219468.0
Oregon,41,359391.0,614525.0,299508.0
Florida,12,1796246.0,3220350.0,1554179.0
New York,36,0,0,0
Rhode Island,44,83607.0,157525.0,63263.0
Georgia,13,810291.0,1448825.0,693085.0
New Hampshire,33,117408.0,203550.0,92305.0
North Carolina,37,851223.0,1400375.0,729507.0
New Jersey,34,727426.0,1231525.0,616618.0
Colorado,08,521879.0,813400.0,409939.0
Maryland,24,442565.0,881675.0,375525.0
Nevada,32,210185.0,339900.0,179805.0
Tennessee,47,545921.0,953600.0,400950.0
Hawaii,15,111165.0,226800.0,89428.0
Indiana,18,581322.0,929900.0,475928.0
Kentucky,21,366643.0,650050.0,312373.0
Minnesota,27,440350.0,834550.0,340311.0
Oklahoma,40,386688.0,594925.0,323625.0
Pennsylvania,42,972742.0,1973775.0,777260.0
South Carolina,45,385158.0,558050.0,322195.0
District of Columbia,11,73328.0,148325.0,57152.0
Kansas,20,190540.0,412375.0,157720.0
Missouri,29,408441.0,834700.0,313161.0
Vermont,50,61737.0,99750.0,47485.0
Virginia,51,724768.0,1186375.0,598853.0
Connecticut,09,403370.0,577625.0,329149.0
Iowa,19,224347.0,398600.0,174655.0
Louisiana,22,398312.0,620425.0,339450.0
Ohio,39,843099.0,1553900.0,716677.0
Michigan,26,866663.0,1361500.0,695236.0
South Dakota,46,97231.0,123800.0,70502.0
Arkansas,05,269993.0,453500.0,221552.0
Delaware,10,87300.0,143775.0,72684.0
Mississippi,28,212748.0,425000.0,191145.0
New Mexico,35,238755.0,317800.0,189082.0
North Dakota,38,86175.0,106875.0,63773.0
Wyoming,56,49166.0,85750.0,41441.0
Alaska,02,110396.0,192350.0,88654.0
Maine,23,123207.0,211150.0,93513.0
Alabama,01,300915.0,659400.0,256601.0
Idaho,16,108873.0,221550.0,88975.0
Montana,30,92589.0,141650.0,71534.0
West Virginia,54,239963.0,278400.0,181839.0
