state,total_vaccinations,total_distributed,people_vaccinated
Washington,2381471.0,3034110.0,1515461.0
Illinois,3777731.0,5031335.0,2512334.0
California,11220508.0,15725740.0,7600220.0
Arizona,2350374.0,2909125.0,1496266.0
Massachusetts,2376322.0,2859820.0,1608665.0
Wisconsin,1881901.0,2210455.0,1199903.0
Texas,7730664.0,10660615.0,4893813.0
Nebraska,629765.0,786200.0,411300.0
Utah,903758.0,1134110.0,529682.0
Oregon,1239800.0,1629635.0,785467.0
Florida,6332072.0,8595895.0,3963502.0
New York,5840907.0,7894985.0,3892844.0
Rhode Island,350979.0,433095.0,252545.0
Georgia,2483900.0,3923755.0,1474110.0
New Hampshire,418658.0,547455.0,306918.0
North Carolina,3048105.0,4121260.0,1950352.0
New Jersey,2834934.0,3402540.0,1958556.0
Colorado,1764066.0,2298570.0,1133732.0
Maryland,1812309.0,2390890.0,1211872.0
Nevada,904504.0,1161380.0,568912.0
Tennessee,1757433.0,2568860.0,1123145.0
Hawaii,489283.0,667030.0,304606.0
Indiana,1979075.0,2516910.0,1212721.0
Kentucky,1357068.0,1765905.0,922079.0
Minnesota,1823592.0,2210960.0,1213677.0
Oklahoma,1364914.0,1915285.0,863480.0
Pennsylvania,3737143.0,5157695.0,2530355.0
South Carolina,1461672.0,1890025.0,928283.0
District of Columbia,244060.0,373225.0,108700.0
Kansas,796242.0,1206795.0,548492.0
Missouri,1724580.0,2249725.0,1085613.0
Vermont,212062.0,289750.0,135916.0
Virginia,2685399.0,3190155.0,1730680.0
Connecticut,1304302.0,1604885.0,948575.0
Iowa,999390.0,1231655.0,680387.0
Louisiana,1340630.0,1824270.0,846690.0
Ohio,3391091.0,4589515.0,2161650.0
Michigan,2899309.0,3826540.0,1880098.0
South Dakota,339564.0,440745.0,221398.0
Arkansas,800091.0,1209300.0,514556.0
Delaware,299695.0,419015.0,184777.0
Mississippi,823604.0,1195775.0,538774.0
New Mexico,867690.0,997385.0,563149.0
North Dakota,286495.0,339590.0,178388.0
Wyoming,190570.0,262995.0,116948.0
Alaska,313365.0,462875.0,190712.0
Maine,442593.0,581920.0,297824.0
Alabama,1209802.0,1816230.0,790864.0
Idaho,507965.0,649425.0,315010.0
Montana,359446.0,450635.0,230731.0
West Virginia,626149.0,778825.0,379579.0
