state,total_vaccinations,total_distributed,people_vaccinated
Washington,2071467.0,2657880.0,1321095.0
Illinois,3341021.0,4378835.0,2275017.0
California,10415023.0,13885120.0,7075139.0
Arizona,2043739.0,2623735.0,1328642.0
Massachusetts,2082052.0,2497130.0,1423801.0
Wisconsin,1721352.0,1924765.0,1098730.0
Texas,6829275.0,9250505.0,4246954.0
Nebraska,536126.0,712720.0,344638.0
Utah,832435.0,993140.0,482088.0
Oregon,1137864.0,1420125.0,718580.0
Florida,5688357.0,7771315.0,3574315.0
New York,5042187.0,7010045.0,3292632.0
Rhode Island,310283.0,387365.0,222457.0
Georgia,2308087.0,3437635.0,1365901.0
New Hampshire,371111.0,496675.0,270198.0
North Carolina,2760801.0,3624905.0,1758662.0
New Jersey,2478696.0,3070400.0,1712715.0
Colorado,1580162.0,2019460.0,1019416.0
Maryland,1606378.0,2116560.0,1063374.0
Nevada,800030.0,1033680.0,508997.0
Tennessee,1580755.0,2305870.0,1015188.0
Hawaii,434343.0,598100.0,271432.0
Indiana,1800802.0,2206230.0,1106523.0
Kentucky,1209546.0,1555915.0,820729.0
Minnesota,1627997.0,1953700.0,1086169.0
Oklahoma,1246152.0,1741270.0,781746.0
Pennsylvania,3298800.0,4641045.0,2257020.0
South Carolina,1284575.0,1642615.0,823824.0
District of Columbia,220634.0,337095.0,95302.0
Kansas,707897.0,1091625.0,491746.0
Missouri,1552157.0,2032445.0,976273.0
Vermont,184327.0,261100.0,118292.0
Virginia,2392680.0,2881325.0,1533362.0
Connecticut,1157114.0,1434565.0,822106.0
Iowa,861247.0,1106755.0,607257.0
Louisiana,1179915.0,1640860.0,741136.0
Ohio,3027215.0,4057505.0,1943411.0
Michigan,2637353.0,3363430.0,1702571.0
South Dakota,314577.0,399640.0,206243.0
Arkansas,744139.0,1088150.0,477127.0
Delaware,264601.0,361765.0,163954.0
Mississippi,736826.0,1067855.0,480626.0
New Mexico,801111.0,901345.0,519972.0
North Dakota,264133.0,299900.0,164433.0
Wyoming,177496.0,236065.0,110594.0
Alaska,288625.0,426715.0,178237.0
Maine,398509.0,503580.0,267398.0
Alabama,1099697.0,1628350.0,721109.0
Idaho,457434.0,594115.0,289977.0
Montana,324102.0,411145.0,210773.0
West Virginia,594118.0,723565.0,358305.0
