state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1841160.0,2443300.0,1186560.0
Illinois,17,2958947.0,3722705.0,2076864.0
California,06,9497125.0,12528070.0,6520515.0
Arizona,04,1889742.0,2244885.0,1262868.0
Massachusetts,25,1837816.0,2115560.0,1278555.0
Wisconsin,55,1521200.0,1814215.0,984053.0
Texas,48,5956629.0,8234755.0,3735197.0
Nebraska,31,484888.0,604380.0,316806.0
Utah,49,722301.0,879350.0,406252.0
Oregon,41,1038342.0,1293095.0,659018.0
Florida,12,5077891.0,6744275.0,3184067.0
New York,36,0,0,0
Rhode Island,44,275799.0,350915.0,196835.0
Georgia,13,2085047.0,3067745.0,1268982.0
New Hampshire,33,330538.0,437345.0,241410.0
North Carolina,37,2545103.0,3028055.0,1626567.0
New Jersey,34,2187330.0,2618060.0,1511554.0
Colorado,08,1428854.0,1747350.0,935576.0
Maryland,24,1390370.0,1946505.0,922936.0
Nevada,32,723182.0,883370.0,462624.0
Tennessee,47,1405604.0,1974990.0,911906.0
Hawaii,15,392771.0,536520.0,251442.0
Indiana,18,1624577.0,2053030.0,1021447.0
Kentucky,21,1061236.0,1418685.0,724283.0
Minnesota,27,1443875.0,1653440.0,971142.0
Oklahoma,40,1124662.0,1408880.0,708140.0
Pennsylvania,42,2886451.0,4025115.0,1991624.0
South Carolina,45,1123049.0,1482565.0,759604.0
District of Columbia,11,199212.0,296805.0,85368.0
Kansas,20,629548.0,868885.0,444176.0
Missouri,29,1384067.0,1709605.0,872317.0
Vermont,50,171557.0,227350.0,109213.0
Virginia,51,2171427.0,2735305.0,1402684.0
Connecticut,09,1040154.0,1281935.0,719571.0
Iowa,19,740713.0,940045.0,550827.0
Louisiana,22,1084499.0,1479200.0,684129.0
Ohio,39,2723208.0,3573485.0,1755260.0
Michigan,26,2389534.0,3103600.0,1536958.0
South Dakota,46,282575.0,341900.0,186707.0
Arkansas,05,670815.0,963040.0,431866.0
Delaware,10,225417.0,323935.0,145892.0
Mississippi,28,646440.0,898945.0,427476.0
New Mexico,35,721489.0,800425.0,475459.0
North Dakota,38,238848.0,266470.0,149585.0
Wyoming,56,156776.0,211415.0,99916.0
Alaska,02,269941.0,372725.0,168646.0
Maine,23,334325.0,451450.0,229054.0
Alabama,01,972161.0,1461320.0,663187.0
Idaho,16,409641.0,517115.0,266252.0
Montana,30,286163.0,342145.0,191691.0
West Virginia,54,536534.0,644595.0,319813.0
