state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,2972560.0,3586880.0,1915110.0
Illinois,17,4960792.0,5909425.0,3241285.0
California,06,14708175.0,18875980.0,9833939.0
Arizona,04,2893024.0,3461245.0,1804760.0
Massachusetts,25,2972826.0,3321910.0,1973933.0
Wisconsin,55,2422908.0,2614965.0,1542799.0
Texas,48,9611867.0,12613635.0,6320852.0
Nebraska,31,775509.0,941420.0,497565.0
Utah,49,1137351.0,1321750.0,696065.0
Oregon,41,1560983.0,1934665.0,1004599.0
Florida,12,8186888.0,10691345.0,5106288.0
New York,36,0,0,0
Rhode Island,44,454586.0,513495.0,305815.0
Georgia,13,3207887.0,4553155.0,1999241.0
New Hampshire,33,529948.0,651805.0,377145.0
North Carolina,37,4002867.0,4932810.0,2608692.0
New Jersey,34,3581686.0,4147575.0,2475567.0
Colorado,08,2250372.0,2684110.0,1413334.0
Maryland,24,2287975.0,2866250.0,1545134.0
Nevada,32,1145354.0,1348650.0,728878.0
Tennessee,47,2198555.0,3145950.0,1432648.0
Hawaii,15,610517.0,766730.0,387067.0
Indiana,18,2406866.0,2964250.0,1469086.0
Kentucky,21,1762745.0,2072685.0,1198585.0
Minnesota,27,2306429.0,2551740.0,1511191.0
Oklahoma,40,1652639.0,2239195.0,1070180.0
Pennsylvania,42,4639971.0,6257455.0,3130512.0
South Carolina,45,1793297.0,2235235.0,1170754.0
District of Columbia,11,302692.0,445625.0,147691.0
Kansas,20,1072867.0,1450815.0,737576.0
Missouri,29,2143727.0,2849985.0,1371336.0
Vermont,50,274187.0,342960.0,177451.0
Virginia,51,3309153.0,3820055.0,2174085.0
Connecticut,09,1623090.0,1899395.0,1057505.0
Iowa,19,1302395.0,1482225.0,833700.0
Louisiana,22,1664443.0,2164470.0,1055689.0
Ohio,39,4364513.0,5540795.0,2810887.0
Michigan,26,3681378.0,4543010.0,2398995.0
South Dakota,46,424806.0,520635.0,267282.0
Arkansas,05,999488.0,1466950.0,670894.0
Delaware,10,382342.0,486095.0,246522.0
Mississippi,28,996498.0,1418475.0,652213.0
New Mexico,35,1085158.0,1183825.0,691431.0
North Dakota,38,357236.0,390610.0,218943.0
Wyoming,56,221336.0,314015.0,134703.0
Alaska,02,372435.0,520685.0,228333.0
Maine,23,558351.0,679570.0,374074.0
Alabama,01,1472666.0,2177880.0,968459.0
Idaho,16,639606.0,785375.0,394331.0
Montana,30,443030.0,551325.0,282065.0
West Virginia,54,763619.0,939515.0,473087.0
