state,total_vaccinations,total_distributed,people_vaccinated
Washington,3045597.0,3586880.0,1968308.0
Illinois,5051382.0,5909425.0,3307733.0
California,15050673.0,18875980.0,10070870.0
Arizona,2942907.0,3461245.0,1835039.0
Massachusetts,3032996.0,3321910.0,2008501.0
Wisconsin,2462081.0,2614965.0,1570598.0
Texas,9734465.0,12613635.0,6390503.0
Nebraska,797409.0,941420.0,515361.0
Utah,1137511.0,1321750.0,696212.0
Oregon,1584449.0,1934665.0,1019809.0
Florida,8191294.0,10691345.0,5109346.0
New York,7522949.0,9586045.0,5082402.0
Rhode Island,469205.0,513495.0,310605.0
Georgia,3280952.0,4553155.0,2058969.0
New Hampshire,537577.0,651805.0,380950.0
North Carolina,4064069.0,4932810.0,2649588.0
New Jersey,3635504.0,4147575.0,2510167.0
Colorado,2276660.0,2684110.0,1428551.0
Maryland,2320073.0,2866250.0,1567725.0
Nevada,1164939.0,1348650.0,742578.0
Tennessee,2231739.0,3145950.0,1452601.0
Hawaii,614208.0,766730.0,390305.0
Indiana,2437519.0,2964250.0,1489440.0
Kentucky,1797605.0,2072685.0,1220786.0
Minnesota,2340900.0,2551740.0,1534133.0
Oklahoma,1674556.0,2239195.0,1081578.0
Pennsylvania,4748613.0,6257455.0,3209843.0
South Carolina,1834965.0,2235235.0,1199352.0
District of Columbia,306996.0,445625.0,150379.0
Kansas,1081274.0,1450815.0,742985.0
Missouri,2174546.0,2849985.0,1387811.0
Vermont,277420.0,342960.0,179725.0
Virginia,3360330.0,3820055.0,2204874.0
Connecticut,1658338.0,1899395.0,1079370.0
Iowa,1324891.0,1482225.0,846801.0
Louisiana,1688633.0,2164470.0,1072631.0
Ohio,4447020.0,5540795.0,2866528.0
Michigan,3747788.0,4543010.0,2442742.0
South Dakota,428076.0,520635.0,268972.0
Arkansas,1008575.0,1466950.0,677806.0
Delaware,389157.0,486095.0,251478.0
Mississippi,1002292.0,1418475.0,655574.0
New Mexico,1098197.0,1183825.0,699102.0
North Dakota,360501.0,390610.0,220711.0
Wyoming,221452.0,314015.0,134800.0
Alaska,375590.0,520685.0,230614.0
Maine,595845.0,679570.0,398960.0
Alabama,1479271.0,2177880.0,972986.0
Idaho,650437.0,785375.0,400267.0
Montana,447675.0,551325.0,284626.0
West Virginia,764903.0,939515.0,474100.0
