state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1888198.0,2517210.0,1210794.0
Illinois,17,3022385.0,3925545.0,2110030.0
California,06,9731169.0,12776090.0,6661278.0
Arizona,04,1930999.0,2392275.0,1277294.0
Massachusetts,25,1884139.0,2296020.0,1306343.0
Wisconsin,55,1553270.0,1863155.0,1001656.0
Texas,48,6191550.0,8709955.0,3850248.0
Nebraska,31,497106.0,654800.0,323340.0
Utah,49,745913.0,911620.0,422402.0
Oregon,41,1050060.0,1335165.0,666187.0
Florida,12,5167346.0,7112075.0,3237174.0
New York,36,0,0,0
Rhode Island,44,282767.0,351515.0,201965.0
Georgia,13,2133517.0,3155155.0,1287231.0
New Hampshire,33,339484.0,454845.0,248242.0
North Carolina,37,2606912.0,3278075.0,1665521.0
New Jersey,34,2249861.0,2780910.0,1555002.0
Colorado,08,1462053.0,1847780.0,954066.0
Maryland,24,1454494.0,2044065.0,965135.0
Nevada,32,733953.0,958450.0,468499.0
Tennessee,47,1455498.0,2043160.0,943375.0
Hawaii,15,399195.0,557040.0,253718.0
Indiana,18,1657664.0,2083930.0,1036064.0
Kentucky,21,1082228.0,1435555.0,737443.0
Minnesota,27,1477533.0,1817920.0,993146.0
Oklahoma,40,1147833.0,1551080.0,720959.0
Pennsylvania,42,2948581.0,4280055.0,2027725.0
South Carolina,45,1150199.0,1489675.0,768635.0
District of Columbia,11,202090.0,310065.0,87114.0
Kansas,20,644921.0,1004065.0,451969.0
Missouri,29,1415806.0,1848525.0,893880.0
Vermont,50,173179.0,230850.0,110313.0
Virginia,51,2220648.0,2762975.0,1431797.0
Connecticut,09,1061375.0,1309225.0,736848.0
Iowa,19,753860.0,983345.0,557426.0
Louisiana,22,1107626.0,1482470.0,699188.0
Ohio,39,2790056.0,3686255.0,1794044.0
Michigan,26,2423899.0,3148950.0,1562225.0
South Dakota,46,287657.0,357250.0,189979.0
Arkansas,05,687433.0,964840.0,442371.0
Delaware,10,237669.0,327635.0,149940.0
Mississippi,28,665772.0,942435.0,438143.0
New Mexico,35,735930.0,821845.0,483920.0
North Dakota,38,241181.0,269610.0,150729.0
Wyoming,56,162918.0,217215.0,103398.0
Alaska,02,273350.0,399225.0,170586.0
Maine,23,334449.0,465150.0,229251.0
Alabama,01,1000031.0,1469100.0,674810.0
Idaho,16,418956.0,525115.0,270724.0
Montana,30,291572.0,370485.0,194837.0
West Virginia,54,541453.0,652465.0,322461.0
