state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,3586736.0,4495070.0,2272698.0
Illinois,17,5932882.0,7493325.0,3930026.0
California,06,18223412.0,23660110.0,12120118.0
Arizona,04,3451567.0,4304045.0,2157694.0
Massachusetts,25,3611067.0,4270280.0,2362261.0
Wisconsin,55,2905410.0,3355325.0,1850625.0
Texas,48,11604088.0,16084645.0,7476870.0
Nebraska,31,940837.0,1152650.0,595579.0
Utah,49,1327487.0,1627020.0,814168.0
Oregon,41,1854126.0,2449855.0,1187225.0
Florida,12,9563326.0,13153105.0,6005354.0
New York,36,0,0,0
Rhode Island,44,559186.0,652615.0,349215.0
Georgia,13,3855859.0,5777435.0,2515040.0
New Hampshire,33,614984.0,788755.0,414738.0
North Carolina,37,4691515.0,6053820.0,3026774.0
New Jersey,34,4381035.0,5236605.0,2951563.0
Colorado,08,2691248.0,3330360.0,1720668.0
Maryland,24,2809466.0,3573500.0,1884069.0
Nevada,32,1348526.0,1704450.0,853774.0
Tennessee,47,2655309.0,3804790.0,1711847.0
Hawaii,15,705568.0,962590.0,450539.0
Indiana,18,2787166.0,3532620.0,1701299.0
Kentucky,21,2100387.0,2572045.0,1386294.0
Minnesota,27,2751928.0,3203000.0,1774794.0
Oklahoma,40,1930169.0,2677545.0,1224792.0
Pennsylvania,42,6056762.0,7659555.0,4071410.0
South Carolina,45,2150462.0,2868095.0,1403522.0
District of Columbia,11,374297.0,514945.0,193796.0
Kansas,20,1290992.0,1787305.0,873196.0
Missouri,29,2524827.0,3502935.0,1568169.0
Vermont,50,328451.0,417840.0,209145.0
Virginia,51,4056991.0,4907455.0,2671921.0
Connecticut,09,1954259.0,2426455.0,1262503.0
Iowa,19,1539664.0,1816015.0,970567.0
Louisiana,22,1963625.0,2719670.0,1219539.0
Ohio,39,5295592.0,6921325.0,3399897.0
Michigan,26,4419793.0,5889820.0,2858070.0
South Dakota,46,496601.0,618745.0,308289.0
Arkansas,05,1183295.0,1763540.0,788277.0
Delaware,10,463476.0,592965.0,302043.0
Mississippi,28,1158505.0,1698485.0,734671.0
New Mexico,35,1258002.0,1442775.0,797952.0
North Dakota,38,413386.0,464690.0,246500.0
Wyoming,56,262406.0,378565.0,156910.0
Alaska,02,407233.0,601225.0,248711.0
Maine,23,697663.0,826370.0,461705.0
Alabama,01,1728736.0,2796630.0,1155139.0
Idaho,16,752364.0,948735.0,460710.0
Montana,30,522897.0,677495.0,327448.0
West Virginia,54,874459.0,1136405.0,537000.0
